Title;Abstract;Authors;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Link;Author Keywords;Index Keywords;Publisher
Survey on selenium tool in software testing;We are moving towards a general public where web is the need of hour. Today the vast majority of the product applications executed, are composed as online applications which are keep running in a web program. Testing programming applications is critical. Numerous associations make utilization of a specific web application, so the same web applications are tried habitually by diverse clients from distinctive regions physically. Testing a web application physically is tedious, so we go for test automation. In test automation we make utilization of a product device to run repeatable tests against the application to be tried. There are various focal points of test automation. They are exceptionally exact and have more prominent preparing pace when contrasted with manual automation. There are various open source and business devices accessible for test mechanization. Selenium is one of the broadly utilized open source device for test computerization. Test automation enhances the effectiveness of programming testing procedures. Test automation gives quick criticism to engineers. It additionally discovers the imperfections when one may miss in the manual testing. In test automation we can perform boundless emphases for testing the same example of code ceaselessly commonly. © 2015 IEEE.;Altaf I., Dar J.A., Rashid F.U., Rafiq M.;2016;Proceedings of the 2015 International Conference on Green Computing and Internet of Things, ICGCIoT 2015;;;7380682;1378;1383;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966671563&doi=10.1109%2fICGCIoT.2015.7380682&partnerID=40&md5=6a2c1f3efd058cd26c18c6f10a5d4c27;"aka.selenium; RC; selenium; selenium control; selenium grid; selenium ide; test case; web driver";"Application programs; Automation; Internet; Internet of things; Machinery; Open source software; Selenium; Testing; World Wide Web; aka.selenium; General publics; On-line applications; Product applications; Test Automation; Test case; Testing procedure; web driver; Software testing";Institute of Electrical and Electronics Engineers Inc.
Robula+: An algorithm for generating robust XPath locators for web testing;Automated test scripts are used with success in many web development projects, so as to automatically verify key functionalities of the web application under test, reveal possible regressions and run a large number of tests in short time. However, the adoption of automated web testing brings advantages but also novel problems, among which the test code fragility problem. During the evolution of the web application, existing test code may easily break and testers have to correct it. In the context of automated DOM-based web testing, one of the major costs for evolving the test code is the manual effort necessary to repair broken web page element locators - lines of source code identifying the web elements (e.g. form fields and buttons) to interact with. In this work, we present Robula+, a novel algorithm able to generate robust XPath-based locators - locators that are likely to work correctly on new releases of the web application. We compared Robula+ with several state of the practice/art XPath locator generator tools/algorithms. Results show that XPath locators produced by Robula+ are by far the most robust. Indeed, Robula+ reduces the locators' fragility on average by 90% w.r.t. absolute locators and by 63% w.r.t. Selenium IDE locators. Copyright © 2016 John Wiley & Sons, Ltd.;Leotta M., Stocco A., Ricca F., Tonella P.;2016;Journal of Software: Evolution and Process;28;3;;177;204;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960411519&doi=10.1002%2fsmr.1771&partnerID=40&md5=94785f3f650ec78904da73bd1c24dff8;"DOM selector; maintenance effort reduction; robust XPath locator; test cases fragility; web testing";"Algorithms; Automation; Codes (symbols); Websites; World Wide Web; DOM selector; Maintenance efforts; Robust XPath locator; Test case; Web testing; Testing";John Wiley and Sons Ltd
A semantic approach for automated test oracle generation;"This paper presents the design, implementation, and applications of a software testing tool, TAO, which allows users to specify and generate test cases and oracles in a declarative way. Extended from its previous grammar-based test generation tool, TAO provides a declarative notation for defining denotational semantics on each productive grammar rule, such that when a test case is generated, its expected semantics will be evaluated automatically as well, serving as its test oracle. TAO further provides a simple tagging mechanism to embed oracles into test cases for bridging the automation between test case generation and software testing. Two practical case studies are used to illustrate how automated oracle generation can be effectively integrated with grammar-based test generation in different testing scenarios: locating fault-inducing input patterns on Java applications; and Selenium-based automated web testing. © 2016 Elsevier Ltd";Guo H.-F.;2016;Computer Languages, Systems and Structures;45;;;204;219;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959311954&doi=10.1016%2fj.cl.2016.01.006&partnerID=40&md5=63d0580f3acd8ffcd68a6e1ebc3e66d0;"Denotational semantics; Software testing; Test case generation; Test oracle";"Application programs; Automatic test pattern generation; Automation; Semantics; Automated test; Denotational semantics; Input patterns; Java applications; Semantic approach; Test case generation; Test generations; Test oracles; Software testing";Elsevier Ltd
SmartDriver: Extension of selenium webdriver to create more efficient automated tests;The SmartDriver framework is an open extension of Selenium WebDriver framework aimed at decreasing implementation and maintenance costs of automated tests. It composes from two principal modules working in synergy. The structuring module ensuring three layer architecture of reusable objects, page objects and tests. Besides decreasing of implementation and maintenance costs, this module allows to create tests which can be easily read by testers or business analysts without previous extensive programming knowledge. The maintenance module then decreases time needed to update the scripts. When a test fails when locating a page element which does not exist due to obsolete test script, SmartDriver automatically analyzes if the element has been just moved to another place in the page. If so, it gives this information to the script developer. © 2016 IEEE.;Bures M., Filipsky M.;2016;2016 6th International Conference on IT Convergence and Security, ICITCS 2016;;;7740370;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006320716&doi=10.1109%2fICITCS.2016.7740370&partnerID=40&md5=9e94ebf40b55ffe6fe1d6637171abe6e;"Architecture; Maintenance; Mobile testing; Selenium WebDriver; Test automation; Test automation framework; Web application testing";"Architecture; Automation; Computer software reusability; Maintenance; Selenium; Business analysts; Maintenance cost; Mobile testing; Programming knowledge; Test Automation; Test automation frameworks; Threelayer architecture; Web application testing; Testing";Institute of Electrical and Electronics Engineers Inc.
Segen: Generation of test cases for selenium and selendroid;Nowadays, with the rise of mobile devices, users deal with applications that present user interfaces adapted to different contexts of use. In order to improve the quality of these user interfaces, we propose a solution that includes a higher level description of tests and a tool, called Segen, for generating test cases for two very known test automation tools for Web and mobile environments: Selenium and Selendroid. Segen allows to generate test scripts from a single high-level description to executable tests scripts for each environment. On using Segen, testers can focus on the test cases, independently of the environment being used. A proof of concept was used to evaluate Segen: A smart home energy management that has a Web version and a mobile Android version. The evaluation showed that Segen reduces the work of testers and can be used along with other testing libraries. The evaluation also showed that Segen is more useful if test cases are designed before the development. However, it was identified that Segen has similar limitations to those that Selenium and Selendroid have. © 2016 ACM.;Neto N.M.L., Vilain P., Dos Santos Mello R.;2016;ACM International Conference Proceeding Series;;;;433;442;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014937121&doi=10.1145%2f3011141.3011154&partnerID=40&md5=dc2a22417d60e5180a4c6f8bc87b1bc4;"Segen; Selendroid; Selenium; Software testing; Tobias; User interface testing";"Automation; Information analysis; Information retrieval; Intelligent buildings; Selenium; Software testing; Testing; Web services; Websites; High level description; Interface testings; Mobile environments; Proof of concept; Segen; Selendroid; Test automation tool; Tobias; User interfaces";Association for Computing Machinery
Case study on testing of web-based application: Del's students information system;Software Testing is an important process to assure the quality of software including web-based application. The aim of testing is to detect all failures to ensure that the software is built in accordance with its specifications. There are two methods of testing, such as the white box and the black box testing. White box testing is done with the approach to the program code, while black box testing is done without referring to the source code, but to the output of the resulting program. User interface testing is the type of testing that is usually conducted on a web-based application. In this research, functional and user interface testing were conducted into Del's Student Information System. Testing techniques used in this research was a Simple Functional Acceptance Test (FAST). This technique was done by testing each function and checking each component of the user interface. Selenium IDE was used to execute test cases resulting in the implementation. From all steps carried out in this research, it can be concluded that the functional testing can be carried out in line with the testing of the user interface. A testing scenario for web-based application has been proposed and experimentally applied into an application under testing.;Sinaga A.M.;2017;Journal of Telecommunication, Electronic and Computer Engineering;9;04.lut;;1;5;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032960670&partnerID=40&md5=83f6950824eccfbd598256802d17fd3c;"Functional Acceptance Simple Test (FAST); Functional testing; UI testing; Web testing";;Universiti Teknikal Malaysia Melaka
Accelerating Test Automation through a Domain Specific Language;Test automation involves the automatic execution of test scripts instead of being manually run. This significantly reduces the amount of manual effort needed and thus is of great interest to the software testing industry. There are two key problems in the existing tools & methods for test automation - a) Creating an automation test script is essentially a code development task, which most testers are not trained on, and b) the automation test script is seldom readable, making the task of maintenance an effort intensive process. We present the Accelerating Test Automation Platform (ATAP) which is aimed at making test automation accessible to non-programmers. ATAP allows the creation of an automation test script through a domain specific language based on English. The English-like test scripts are automatically converted to machine executable code using Selenium WebDriver. ATAP's English-like test script makes it easy for non-programmers to author. The functional flow of an ATAP script is easy to understand as well thus making maintenance simpler (you can understand the flow of the test script when you revisit it many months later). ATAP has been built around the Eclipse ecosystem and has been used in a real-life testing project. We present the details of the implementation of ATAP and the results from its usage in practice. © 2017 IEEE.;Dwarakanath A., Era D., Priyadarshi A., Dubash N., Podder S.;2017;Proceedings - 10th IEEE International Conference on Software Testing, Verification and Validation, ICST 2017;;;7928002;460;467;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020725176&doi=10.1109%2fICST.2017.52&partnerID=40&md5=bed062f356959826d87cff3e1eaea7b3;"DSL; Selenium; Test automation; Xtext";"Automation; Computer programming languages; DSL; Problem oriented languages; Selenium; Verification; Automation tests; Code development; Domain specific languages; Executable codes; Functional flow; Real-life testing; Test Automation; Xtext; Software testing";Institute of Electrical and Electronics Engineers Inc.
Automatically locating unnamed windows and inner frames for web regression testing;Selenium IDE is a glorious state-of-The-Art integrated development environment for recording and playing Selenium test cases for web testing. However, it does not support automatically locating unnamed popup windows and inner frames, which impedes creating a sequence of test commands across different windows and inner frames. In this work, we extend Selenium IDE and propose a technique to dealing with this problem. The experimental results demonstrate the automation efficacy with 12 real world web pages and 36 pairwise test cases. © 2017 IEEE.;Lee S.-J., You J.-L., Hsieh S.-Y.;2017;Proceedings of the 2017 IEEE International Conference on Applied System Innovation: Applied System Innovation for Modern Technology, ICASI 2017;;;7988381;184;187;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028524372&doi=10.1109%2fICASI.2017.7988381&partnerID=40&md5=6d3d0f88dac1f8039cd8e5d25d75c8b9;"Test case record and playback; Unnamed inner frame; Unnamed window; Web regression testing";"Integrodifferential equations; Selenium; Software testing; Websites; Integrated development environment; Pairwise tests; Pop-up windows; Real world web; Regression testing; State of the art; Test case; Unnamed inner frame; Innovation";Institute of Electrical and Electronics Engineers Inc.
Test case generation from BPMN models for automated testing of Web-based BPM applications;This article proposes an approach to generate test cases from BPMN models, for automated testing of Web applications implemented with the support of BPM suites. The work is primarily focused on functional testing and has the following objectives: (i) identify execution paths from the flow analysis in the BPMN model and (ii) generate the initial code of test scripts to be run on a given Web application testing tool. Throughout the article, we describe the design and implementation of a solution to achieve these goals, targeting automated tests using Selenium and Cucumber as tools. The approach was applied to processes from a public repository and was able to generate test scenarios from different BPMN models. © 2017 IEEE.;De Moura J.L., Charão A.S., Lima J.C.D., De Oliveira Stein B.;2017;Proceedings of the 2017 17th International Conference on Computational Science and Its Applications, ICCSA 2017;;;7999652;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041234887&doi=10.1109%2fICCSA.2017.7999652&partnerID=40&md5=7ffc8cac48ddddfc610dc9fdf857514a;"Automatic software testing; BPMN; Business Process Management; Test case generation";"Administrative data processing; Automation; Enterprise resource management; Automated testing; BPMN; Business process management; Design and implementations; Functional testing; Public repositories; Test case generation; Web application testing; Software testing";Institute of Electrical and Electronics Engineers Inc.
Automation testing framework for web applications with selenium WebDriver: Opportunities and threats;The present paper discusses the need of automation testing in the process of software development, in order to provide high quality, robust and reliable software product. It answers the question why automation testing plays such a significant role in software development lifecycle as well as why not to use already existing automation testing tools when testing web applications and why it is better to create automation testing framework. Some reliable approaches how to build a testing framework are investigated. Selenium WebDriver tool is pointed out as appropriate solution when creating such framework and its wide use is outlined. Moreover, the paper provides analysis and detailed list of opportunities and threats of using Selenium WebDriver tool. The paper concludes by providing arguments for the value of the creation of automation framework for Web applications with Selenium WebDriver. © 2017 Association for Computing Machinery.;Vila E., Novakova G., Todorova D.;2017;ACM International Conference Proceeding Series;Part F131200;;;144;150;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033558270&doi=10.1145%2f3133264.3133300&partnerID=40&md5=b1bc4d22bd0045fc8126b8938d08f098;"Automation testing script; Automation testing tool; Selenium WebDriver; Software product; Testing framework; Web application";"Application programs; Automation; Image processing; Network function virtualization; Selenium; Software design; Software engineering; Automation testing; High quality; Software development life cycle; Software products; Testing framework; WEB application; Software testing";Association for Computing Machinery
APOGEN: automatic page object generator for web testing;Modern web applications are characterized by ultra-rapid development cycles, and web testers tend to pay scant attention to the quality of their automated end-to-end test suites. Indeed, these quickly become hard to maintain, as the application under test evolves. As a result, end-to-end automated test suites are abandoned, despite their great potential for catching regressions. The use of the Page Object pattern has proven to be very effective in end-to-end web testing. Page objects are façade classes abstracting the internals of web pages into high-level business functions that can be invoked by the test cases. By decoupling test code from web page details, web test cases are more readable and maintainable. However, the manual development of such page objects requires substantial coding effort, which is paid off only later, during software evolution. In this paper, we describe a novel approach for the automatic generation of page objects for web applications. Our approach is implemented in the tool Apogen, which automatically derives a testing model by reverse engineering the target web application. It combines clustering and static analysis to identify meaningful page abstractions that are automatically turned into Java page objects for Selenium WebDriver. Our evaluation on an open-source web application shows that our approach is highly promising: Automatically generated page object methods cover most of the application functionalities and result in readable and meaningful code, which can be very useful to support the creation of more maintainable web test suites. © 2016, Springer Science+Business Media New York.;Stocco A., Leotta M., Ricca F., Tonella P.;2017;Software Quality Journal;25;3;;1007;1039;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981289299&doi=10.1007%2fs11219-016-9331-9&partnerID=40&md5=5504a841c8b9227978e9cd8cd9e9a61d;"Clustering; End-to-end testing; Page object pattern; Reverse engineering; Selenium WebDriver; Web testing";"Abstracting; Codes (symbols); Open source software; Open systems; Reverse engineering; Selenium; Static analysis; Websites; World Wide Web; Application under tests; Automatic Generation; Automatically generated; Business functions; Clustering; End to end; Object patterns; Web testing; Automatic test pattern generation";Springer New York LLC
The design and implement of the cross-platform mobile automated testing framework;In order to improve the efficiency of software development and distribution, ensure the quality of application software, and improve the reusability of automated test scripts, based on Selenium WebDriver, combined with the current mainstream of continuous integration tool Jenkins, this paper designs and implements a cross platform Mobile Terminal Test Automation Framework. IOS and Android mobile terminal operating systems are supported by the framework. And the framework can automatically complete the entire progress of test case development, deployment, testing and log analysis. It not only reduces the threshold of testers, but also greatly improves the efficiency of development and testing, and lays a solid foundation for program sustainable development. © 2016 IEEE.;Ming F., Zhou Z., Li Z.;2017;Proceedings of 2016 5th International Conference on Computer Science and Network Technology, ICCSNT 2016;;;8070144;182;185;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039897561&doi=10.1109%2fICCSNT.2016.8070144&partnerID=40&md5=f3ce21e0a2f7ecfba2be96def8060db0;"Android; cross platform; iOS; Jenkins; Selenium; Test Automation Framework";"Android (operating system); Application programs; Automation; Computer networks; Computer software reusability; Computer terminals; Efficiency; Mobile phones; Mobile telecommunication systems; Reusability; Selenium; Software design; Android; Automated testing; Continuous integrations; Cross-platform; Design and implements; Development and testing; Jenkins; Test automation frameworks; Software testing";Institute of Electrical and Electronics Engineers Inc.
Testing using selenium web driver;Software testing is considered to be the most important step in Software Development Life Cycle. The main objective of the testing process is to compare the obtained results with those of expected by the end user of the software. Test Automation simplifies the work of tester by automating the execution of test scripts with the use of a special software. This paper focuses on the use of Selenium Webdriver to test a web application and to demonstrate the use of this tool in combination with other tools like the Maven, TestNG, etc., for more easier approach to testing and to improve the quality of testing process. © 2017 IEEE.;Ramya P., Sindhura V., Sagar P.V.;2017;Proceedings of the 2017 2nd IEEE International Conference on Electrical, Computer and Communication Technologies, ICECCT 2017;;;8117878;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040590390&doi=10.1109%2fICECCT.2017.8117878&partnerID=40&md5=2b1110b7267330425f3af46d13ece0bb;"Maven; Selenium Web driver; TestNG";"Computer software; Life cycle; Selenium; Software design; Software engineering; End users; Maven; Software development life cycle; Test Automation; Test scripts; Testing process; TestNG; WEB application; Software testing";Institute of Electrical and Electronics Engineers Inc.
Evaluating the user acceptance testing for multi-tenant cloud applications;SaaS (Software as a Service) is a service delivery model in which an application can be provided on demand via the Internet. Multi-tenant architecture is essential for SaaS because it enables multiple customers, so-called tenants, to share the system's resources in a transparent way to reduce costs and customize the software layer, resulting in variant applications. Despite the popularity of this model, there have been few cases of evaluation of software testing in cloud computing. Many researchers argue that traditional software testing may not be a suitable way of validating cloud applications owing to the high degree of customization, its dynamic environment and multi-tenancy. User Acceptance Testing (UAT) evaluates the external quality of a product and complements previous testing activities. The main focus of this paper is on investigating the ability of the parallel and automated UAT to detect faults with regard to the number of tenants. Thus, our aim is to evaluate to what extent the ability to detect faults varies if a different number of variant applications is executed. A case study was designed with a multi-tenant application called iCardapio and a testing framework created through Selenium and JUnit extensions. The results showed a significant difference in terms of detected faults when test scenarios with a single-tenant and multi-tenant were included. Copyright © 2018 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.;Pinto V.H.S.C., Oliveira R.R., Vilela R.F., Souza S.R.S.;2018;CLOSER 2018 - Proceedings of the 8th International Conference on Cloud Computing and Services Science;2018-January;;;47;56;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048869632&doi=10.5220%2f0006664000470056&partnerID=40&md5=105644bfb424ad4742d1cab47bcee2f7;"Cloud applications; Multi-tenancy; User acceptance testing";"Application programs; Fault detection; Quality control; Software as a service (SaaS); Software testing; Cloud applications; Dynamic environments; Multi tenancies; Multi-tenant architectures; SaaS (software as a service); Service delivery; Testing framework; User acceptance testing; Acceptance tests";SciTePress
Methodology for regression testing with open source tool;"The paper describes our methodology for optimizing regression testing that forms a major part of software maintenance. It necessitates the use of an automated testing tool, and we have selected Selenium, an open source tool. For simple projects, a formula is proposed that has been derived through data mining with Selenium. A genetic algorithm is added to this methodology for industry based projects, where the test cases are so large that they have to be grouped as Test Suites; this algorithm reconfigures Test suites in each cycle of regression testing. Commonly used APFD metric ignores fault severity but is included in our formula; this severity is determi ned by professional testers. The use of ANN to amend severity without manual intervention enhances the genetic algorithm. Tables presented in the paper are from both simple and industry projects. Comparison is made with IBM'S RFT, a proprietary tool for automated tes ting. © 2018 Authors.";Hema Shankari K., Selvi R.T.;2018;International Journal of Engineering and Technology(UAE);7;1,1;;133;137;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041565914&partnerID=40&md5=e97712a5f7072a02ba1b0e7c34452ec6;"ANN; APFD metric; Genetic algorithm; Regression testing; Selenium tool";;Science Publishing Corporation Inc
Automating Web Application Testing from the Ground Up: Experiences and Lessons Learned in an Industrial Setting;Automating web application testing is a very tricky process due to inherent complexity, dynamic behavior(s) in web pages, differences in the way browsers render the same content (especially on different form factors), and so on. Yet manual testing is not a practical option, and such automation is a must in the interests of effectiveness and efficiency, because of the large number of browsers/devices that users can choose from, and also given the rapid software development cycles of today. This paper discusses our efforts at Varidesk to automate web tests against our main website-which offers many features and content, but is also a true eCommerce site where users from around the globe can purchase a very broad variety of active workspace solutions that we offer. Our solution was developed in-house, from the ground up, and leveraged and extended freely available automation and test libraries such as Selenium WebDriver and NUnit respectively. We talk about the challenges we faced and how we overcame them, as well as provide technical insights on real-world concerns such as managing test brittleness, and integrating the web tests into an existing Continuous Integration and Continuous Deployment (CI/CD) pipeline. Part of the novelty of this paper is that we are also transparent on the rationale behind our decision to build versus buy, and how we managed resources, especially in terms of cost. We also present lessons learned, and encouraged by the success that we have observed, hope that the results will be beneficial to academia and practitioners alike. © 2018 IEEE.;Debroy V., Brimble L., Yost M., Erry A.;2018;Proceedings - 2018 IEEE 11th International Conference on Software Testing, Verification and Validation, ICST 2018;;;;354;362;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048453978&doi=10.1109%2fICST.2018.00042&partnerID=40&md5=ec31fbfde0ac7dd7dbeed5636d1bc145;"automation; industry experience; web application testing; web testing";"Automation; Digital libraries; Fracture mechanics; Software design; Verification; Websites; Continuous integrations; Effectiveness and efficiencies; Industrial settings; Industry experience; Inherent complexity; Software development cycles; Web application testing; Web testing; Software testing";Institute of Electrical and Electronics Engineers Inc.
Poster: Testingweb-based applications with the voice controlled accessibility and testing tool (VCAT);Many web applications and software engineering tools such as test generators are not accessible for users who do not use traditional input devices such as mouse and keyboard. To address this shortcoming of current applications, this work leverages recent speech recognition advances to create a browser plugin that interprets voice inputs as web browser commands and as steps in a corresponding test case. In an initial experiment, the resulting Voice Controlled Accessibility and Testing tool (VCAT) prototype for Chrome and Selenium yielded a lower overall runtime than a traditional test creation approach. © 2018 Authors.;Ramachandra N.P.K., Csallner C.;2018;Proceedings - International Conference on Software Engineering;;;;208;209;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049679194&doi=10.1145%2f3183440.3195099&partnerID=40&md5=bbfb5afa422cb479ef341da874d8720b;"Accessible software engineering tool; Selenium; Voice control";"Application programs; Selenium; Speech recognition; Input devices; Plug-ins; Software engineering tools; Test case; Testing tools; Voice control; Voice-controlled; WEB application; Software testing";IEEE Computer Society
Journal first presentation of an experience report on applying software testing academic results in industry: We need usable automated test generation;"What is the impact of software engineering research on current practices in industry? In this paper, I report on my direct experience as a PhD/post-doc working in software engineering research projects, and then spending the following five years as an engineer in two different companies (the first one being the same I worked in collaboration with during my post-doc). Given a background in software engineering research, what cutting-edge techniques and tools from academia did I use in my daily work when developing and testing the systems of these companies? Regarding validation and verification (my main area of research), the answer is rather short: as far as I can tell, only FindBugs. In this paper, I report on why this was the case, and discuss all the challenging, complex open problems we face in industry and which somehow are ""neglected"" in the academic circles. In particular, I will first discuss what actual tools I could use in my daily work, such as JaCoCo and Selenium. Then, I will discuss the main open problems I faced, particularly related to environment simulators, unit and web testing. After that, popular topics in academia are presented, such as UML, regression and mutation testing. Their lack of impact on the type of projects I worked on in industry is then discussed. Finally, from this industrial experience, I provide my opinions about how this situation can be improved, in particular related to how academics are evaluated, and advocate for a greater involvement into open-source projects. © 2018 Author.";Arcuri A.;2018;Proceedings - International Conference on Software Engineering;;;;1065;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049395546&doi=10.1145%2f3180155.3182555&partnerID=40&md5=0ea22b06313dc6b9844a6955740d3c31;"Applied research; Impact; Industry; Practice; Technology transfer";"Cutting tools; Industry; Open source software; Software testing; Technology transfer; Applied research; Automated test generations; Environment simulators; Impact; Industrial experience; Open source projects; Practice; Validation and verification; Engineering research";IEEE Computer Society
Pesto: Automated migration of DOM-based Web tests towards the visual approach;"Test automation tools are widely adopted for testing complex Web applications. Three generations of tools exist: first, based on screen coordinates; second, based on DOM–based commands; and third, based on visual image recognition. In our previous work, we proposed Pesto, a tool able to migrate second-generation Selenium WebDriver test suites towards third-generation Sikuli ones. In this work, we extend Pesto to manage Web elements having (1) complex visual interactions and (2) multiple visual appearances. Pesto relies on aspect-oriented programming, computer vision, and code transformations. Our new improved tool has been evaluated on two Web test suites developed by an independent tester. Experimental results show that Pesto manages and transforms correctly test suites with Web elements having complex visual interactions and multistate elements. By using Pesto, the migration of existing DOM–based test suites to the visual approach requires a low manual effort, since our approach proved to be very accurate. Copyright © 2018 John Wiley & Sons, Ltd.";Leotta M., Stocco A., Ricca F., Tonella P.;2018;Software Testing Verification and Reliability;28;4;e1665;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042766965&doi=10.1002%2fstvr.1665&partnerID=40&md5=6f2bc0f983f5cc92f92aa2ab94e88fc0;"DOM-based testing; Selenium WebDriver; Sikuli; test automation; visual testing; Web testing";"Aspect oriented programming; Automation; Cosine transforms; Image recognition; Code transformation; Multi-state elements; Sikuli; Test Automation; Test automation tool; Visual interaction; Visual testing; Web testing; Testing";John Wiley and Sons Ltd
Test Command Auto-Wait Mechanisms for Record and Playback-Style Web Application Testing;Test case recording and playback technology, normally implemented as a test case recorder, has been widely applied in the industry. One of the key research topics is how to determine if a web page has entered a ready state before the recorder can perform the next test command? If a web element is incorrectly selected during playback, the related test command will fail to process. This research puts forward four kinds of automatic waiting mechanism for playing test commands. The experiment result shows that the waiting time can be determined dynamically and automatically, so that testers do not have to manually add waiting commands thereby reducing the time and error of artificial discrimination. The proposed mechanisms were implemented as parts of the SideeX open source web testing software and have been further adopted by the new Selenium IDE and Katalon Recorder. Currently, over 60,000 web testers around the world run the mechanisms. © 2018 IEEE.;Lee S.-J., Chen Y.-X., Ma S.-P., Lee W.-T.;2018;Proceedings - International Computer Software and Applications Conference;2;;8377833;75;80;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055470126&doi=10.1109%2fCOMPSAC.2018.10206&partnerID=40&md5=c397ab858cf7cd11ae45acbf4f214b09;"Automated web application testing; Automatic-wait; Test case recording and playback";"Application programs; Open source software; Open systems; Websites; Automatic-wait; Open sources; Record and playback; Research topics; Test case; Waiting-time; Web application testing; Web testing; Software testing";IEEE Computer Society
Fighting unemployment through java internships: Creating a path to software development through test automation;The unemployment rate in South Africa for first quarter 2017 was just under thirty percent. To help alleviate this problem, the South African Revenue Service offers certain tax incentives to companies which operate internships or in-service training to under-skilled individuals. At the same time of this high unemployment rate, there is a shortage of certain IT skills in the country including a shortage of Java programmers. This paper describes research in offering internships to people who hold some sort of documented proof of computer literacy such as the ICDL and training them to write test automation programs in Java. The internship creates a pathway from test automation to entry level Java programmer. This paper describes two iterations of the process and documents the training offered to the interns, the successes and the lessons learned. In the second iteration (and the final iteration described in this paper), interns learned Java programming by writing test program in Java using Sikulix (to test Java application), Selenium (to test websites) and Robotium (to test Android apps). The results are very positive. © 2018 IST-Africa Institute.;Butgereit L.;2018;2018 IST-Africa Week Conference, IST-Africa 2018;;;8417368;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051238765&partnerID=40&md5=fb9f18718d9c8dabd4a43bb325aaa6e7;"in-service training; internship; software development; test automation";"Application programs; Automation; Employment; Graphical user interfaces; Population statistics; Software design; Software engineering; Software testing; Taxation; Computer literacy; In-service training; internship; Java applications; Java programmers; Java programming; Test Automation; Unemployment rates; Java programming language";Institute of Electrical and Electronics Engineers Inc.
An experience report on applying software testing academic results in industry: we need usable automated test generation;What is the impact of software engineering research on current practices in industry? In this paper, I report on my direct experience as a PhD/post-doc working in software engineering research projects, and then spending the following five years as an engineer in two different companies (the first one being the same I worked in collaboration with during my post-doc). Given a background in software engineering research, what cutting-edge techniques and tools from academia did I use in my daily work when developing and testing the systems of these companies? Regarding validation and verification (my main area of research), the answer is rather short: as far as I can tell, only FindBugs. In this paper, I report on why this was the case, and discuss all the challenging, complex open problems we face in industry and which somehow are “neglected” in the academic circles. In particular, I will first discuss what actual tools I could use in my daily work, such as JaCoCo and Selenium. Then, I will discuss the main open problems I faced, particularly related to environment simulators, unit and web testing. After that, popular topics in academia are presented, such as UML, regression and mutation testing. Their lack of impact on the type of projects I worked on in industry is then discussed. Finally, from this industrial experience, I provide my opinions about how this situation can be improved, in particular related to how academics are evaluated, and advocate for a greater involvement into open-source projects. © 2017, Springer Science+Business Media, LLC.;Arcuri A.;2018;Empirical Software Engineering;23;4;;1959;1981;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035083036&doi=10.1007%2fs10664-017-9570-9&partnerID=40&md5=5d46a94447f4ee006ee17b3325301419;"Applied research; Impact; Industry; Practice; Technology transfer";"Cutting tools; Engineering research; Industry; Open source software; Technology transfer; Applied research; Automated test generations; Environment simulators; Impact; Industrial experience; Open source projects; Practice; Validation and verification; Software testing";Springer New York LLC
