Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords,Index Keywords,Publisher
"Stocco A., Leotta M., Ricca F., Tonella P.","Why Creating Web Page Objects Manually if It Can Be Done Automatically?",2015,"Proceedings - 10th International Workshop on Automation of Software Test, AST 2015",,,"7166271","70","74",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945338199&doi=10.1109%2fAST.2015.26&partnerID=40&md5=3959a9a8a75af6cf6c952d4e4470a34e","Page Object is a design pattern aimed at making web test scripts more readable, robust and maintainable. The effort to manually create the page objects needed for a web application may be substantial and unfortunately existing tools do not help web developers in such task.In this paper we present APOGEN, a tool for the automatic generation of page objects for web applications. Our tool automatically derives a testing model by reverse engineering the target web application and uses a combination of dynamic and static analysis to generate Java page objects for the popular Selenium WebDriver framework. Our preliminary evaluation shows that it is possible to use around 3/4 of the automatic page object methods as they are, while the remaining 1/4 need only minor modifications. © 2015 IEEE.","Page Object Pattern; Program Analysis; Reverse Engineering; Selenium WebDriver; Testware Evolution; Web Testing","Java programming language; Reverse engineering; Selenium; Static analysis; Websites; World Wide Web; Automatic Generation; Design Patterns; Object patterns; Program analysis; Testing modeling; Testware Evolution; WEB application; Web testing; Software testing","Institute of Electrical and Electronics Engineers Inc."
"Chandu P., Sasikala T.","Yoking object oriented metrics through mutation testing for minimizing time period ramification",2015,"Journal of Theoretical and Applied Information Technology","77","3",,"446","450",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938355667&partnerID=40&md5=3804c874b8cd80882aaf277429fb315e","Object Oriented Programming largely depends on the testing processes. Testing is of vital importance and is being carried out at three levels namely system, unit and integration verification. The three approaches Structural, black-box, error-driven approach is normally considered as efficient approaches. In the proposed system, we probe into object-oriented metrics which are forcefully yoked through mutation testing processes using Selenium tool and the primary focus is on checking the time consumption in the effective evoking of results. However maximizing the effectiveness of software has been principle objective of the proposed work. To derive a non-existing software test case and to ascertain quality of programs Mutation method is used. Selenium an automatic tool through open source technology is implemented in this process which provides various set programming equipments. Each and every equipment evokes an unique mode of support testing being generated by the tool. In this proposed system the mutation mode of testing the objects is carried out by means of selenium tool. © 2005 - 2015 JATIT & LLS. All rights reserved.","Automation; Implementing; Metrics; Mutation; Testing",,"Asian Research Publishing Network"
"Guo H.-F., Ouyang Q., Siy H.","Semantics-based automated web testing",2015,"Electronic Proceedings in Theoretical Computer Science, EPTCS","188",,,"59","74",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954484246&doi=10.4204%2fEPTCS.188.7&partnerID=40&md5=a9d3504438f294b3207f6c4603f13890","We present TAO, a software testing tool performing automated test and oracle generation based on a semantic approach. TAO entangles grammar-based test generation with automated semantics evaluation using a denotational semantics framework. We show how TAO can be incorporated with the Selenium automation tool for automated web testing, and how TAO can be further extended to support automated delta debugging, where a failing web test script can be systematically reduced based on grammar-directed strategies. A real-life parking website is adopted throughout the paper to demonstrate the effectivity of our semantics-based web testing approach.",,"Automation; Semantics; Software testing; Specifications; Websites; World Wide Web; Automated test; Automation tools; Delta debugging; Denotational semantics; Semantic approach; Test generations; Test scripts; Web testing; Semantic Web","Open Publishing Association"
"Raulamo-Jurvanen P., Kakkonen K., Mäntylä M.","Using surveys and Web-scraping to select tools for software testing consultancy",2016,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10027 LNCS",,,"285","300",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998636508&doi=10.1007%2f978-3-319-49094-6_18&partnerID=40&md5=c59d51b1f462091f645303b3ce0bbdd7","We analyzed findings from data collected utilizing surveys and Webscraping, to support Knowit Oy, a software testing consultation company, in the process of selecting the right tools for software testing & test automation. We conducted two surveys (2013 & 2016) among (mostly Finnish) software professionals to acquire criteria and a list of tools used for software testing in industry. Considering all our data sources Selenium was the most popular pure tool, while Robot Framework was the most referenced tool (latter survey). According to the surveys Jenkins and Sikuli have the highest increase in popularity (or familiarity). Top referred criteria for selection were usability, functionality, maintainability and available support for a tool. While Knowit considers it best to utilize traditional surveys, Web-scraping is seen as cost effective support for such instruments. To get comprehensive picture and to gain knowledge of the tools in markets multiple sources should be used. © Springer International Publishing AG 2016.","Selection criteria; Software test automation tool; Software testing tool; Test automation; Tool support","Automation; Cost effectiveness; Management science; Process engineering; Surveys; Cost effective; Data-sources; Multiple source; Selection criteria; Software test automation; Test Automation; Tool support; Web scrapings; Software testing","Springer Verlag"
"Berłowski J., Chrusciel P., Kasprzyk M., Konaniec I., Jureczko M.","Highly automated agile testing process: An industrial case study",2016,"E-Informatica Software Engineering Journal","10","1",,"69","87",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994060568&doi=10.5277%2fe-Inf160104&partnerID=40&md5=083f94f0e5d8fb8f59cb63053f34124c","This paper presents a description of an agile testing process in a medium size software project that is developed using Scrum. The research methods used is the case study were as follows: surveys, quantifiable project data sources and qualitative project members opinions were used for data collection. Challenges related to the testing process regarding a complex project environment and unscheduled releases were identified. Based on the obtained results, we concluded that the described approach addresses well the aforementioned issues. Therefore, recommendations were made with regard to the employed principles of agility, specifically: continuous integration, responding to change, test automation and test driven development. Furthermore, an efficient testing environment that combines a number of test frameworks (e.g. JUnit, Selenium, Jersey Test) with custom-developed simulators is presented.","Agile software development; Case study; Software engineering; Testing process","Software design; Software engineering; Agile software development; Complex projects; Continuous integrations; Industrial case study; Software project; Test driven development; Testing environment; Testing process; Software testing","Politechnika Wroclawska"
"Tao C., Gao J.","On building test automation system for mobile applications using GUI ripping",2016,"Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE","2016-January",,,"480","485",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988358022&doi=10.18293%2fSEKE2016-168&partnerID=40&md5=00aed5e24fdf96cee6de18b3ede0dc8f","With the rapid advance of mobile computing technology and wireless networking, there is a significant increase of mobile subscriptions. This brings new business requirements and demands in mobile software testing, and causes new issues and challenges in mobile testing and automation. Current existing mobile application testing tools mostly concentrate on GUI, load and performance testing which seldom consider large-scale concurrent automation, coverage analysis, fault tolerance and usage of well-defined models. This paper introduces an implemented system that provides an automation solution across platforms on diverse devices using GUI ripping test scripting technique. Through incorporating open source technologies such as Appium and Selenium Grid, this paper addresses the scalable test automation control with the capability of fault tolerant. Additionally, maximum test coverage can also be obtained by executing parallel test scripts within the model. Finally, the paper reports case studies to indicate the feasibility and effectiveness of the proposed approach.","GUI ripping; Large-scale concurrent testing; Mobile application testing; Test automation","Automation; Fault tolerance; Graphical user interfaces; Knowledge engineering; Load testing; Mobile computing; Mobile telecommunication systems; Open source software; Software engineering; Automation solutions; Business requirement; Concurrent testing; Issues and challenges; Mobile application testing; Mobile computing technology; Open-source technology; Test Automation; Software testing","Knowledge Systems Institute Graduate School"
"Bubna K.","End to end specification based test generation of web applications",2016,"ENASE 2016 - Proceedings of the 11th International Conference on Evaluation of Novel Software Approaches to Software Engineering",,,,"296","302",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979543865&doi=10.5220%2f0005919102960302&partnerID=40&md5=7b7dd73c3cb6a3d291da847a965a7198","Using formal specifications to generate test cases presents great potential for automation in testing and enhancing the quality of test cases. However, an important challenge in this direction is the design specifications which are at a more abstract level than the implementation, with many important implementation level details missing. To generate executable test cases, these implementation details must be included at some stage. Though there has been a lot of work in test generation from specification, all the existing methods suffer from this problem: either the test cases are not executable, or the process involves a non-trivial, manual step of translating the abstract test cases to concrete test cases. In this work, we present an approach of specification based test generation for web applications that overcomes the above challenge: test generation is completely automated and the test cases are fully executable on a test execution framework (e.g. Selenium RC). Further, our methodology allows generation of multiple sets of concrete test cases from the the same formal specification. This makes it possible to use the same abstract specification to generate test cases for a number of versions of the system. Throughout the paper, a case study of Learning Management System is used to illustrate our approach. Copyright © 2016 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.","Model checking; Selenium; Statechart; Web applications","Concretes; Formal specification; Model checking; Selenium; Testing; Abstract levels; Abstract specifications; Design specification; Learning management system; State charts; Test execution framework; Test generations; WEB application; Concrete testing","SciTePress"
"Clerissi D., Leotta M., Reggio G., Ricca F.","A lightweight semi-automated acceptance test-driven development approach for web applications",2016,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9671",,,"593","597",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977582826&doi=10.1007%2f978-3-319-38791-8_55&partnerID=40&md5=259362b8798a0a185f06fbac69c47eba","Applying Acceptance Test Driven Development (ATDD) in the context of web applications is a difficult task due to the intricateness of existing tools/frameworks and, more in general, of the proposed approaches. In this work, we present a simple approach for developing web applications in ATDD mode, based on the usage of Screen Mockups and Selenium IDE. © Springer International Publishing Switzerland 2016.",,"World Wide Web; Simple approach; Test driven development; WEB application; Acceptance tests","Springer Verlag"
"Bubna K., Chakrabarti S.K.","ACT (Abstract to Concrete Tests) - A tool for generating Concrete test cases from Formal Specification of Web Applications",2016,"CEUR Workshop Proceedings","1561",,,"16","22",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964543868&partnerID=40&md5=e2184a40cf3f22adc5d0b8cfaf19046a","As web applications are becoming more and more ubiquitous, modeling and testing web applications correctly is becoming necessary. In this paper, we have used a formal specification language, State chart to model the navigation behaviour aspect of web applications. This paper presents the ACT (Abstract to Concrete Tests) tool, an approach of generating concrete executable Selenium RC JUnit test cases from a formal State chart specification model. The ACT tool can generate concrete Selenium RC JUnit test cases from abstract test cases by utilizing data shared across different interactions of the web application with the web server. Throughout the paper, a case study of Learning Management System is used to illustrate our approach. Copyright © 2016 for the individual papers by the papers' authors.",,"Concretes; Navigation charts; Selenium; Software engineering; Specification languages; Specifications; Testing; World Wide Web; Learning management system; Specification modeling; State charts; Test case; WEB application; Web servers; Formal specification","CEUR-WS"
"Altaf I., Dar J.A., Rashid F.U., Rafiq M.","Survey on selenium tool in software testing",2016,"Proceedings of the 2015 International Conference on Green Computing and Internet of Things, ICGCIoT 2015",,,"7380682","1378","1383",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966671563&doi=10.1109%2fICGCIoT.2015.7380682&partnerID=40&md5=6a2c1f3efd058cd26c18c6f10a5d4c27","We are moving towards a general public where web is the need of hour. Today the vast majority of the product applications executed, are composed as online applications which are keep running in a web program. Testing programming applications is critical. Numerous associations make utilization of a specific web application, so the same web applications are tried habitually by diverse clients from distinctive regions physically. Testing a web application physically is tedious, so we go for test automation. In test automation we make utilization of a product device to run repeatable tests against the application to be tried. There are various focal points of test automation. They are exceptionally exact and have more prominent preparing pace when contrasted with manual automation. There are various open source and business devices accessible for test mechanization. Selenium is one of the broadly utilized open source device for test computerization. Test automation enhances the effectiveness of programming testing procedures. Test automation gives quick criticism to engineers. It additionally discovers the imperfections when one may miss in the manual testing. In test automation we can perform boundless emphases for testing the same example of code ceaselessly commonly. © 2015 IEEE.","aka.selenium; RC; selenium; selenium control; selenium grid; selenium ide; test case; web driver","Application programs; Automation; Internet; Internet of things; Machinery; Open source software; Selenium; Testing; World Wide Web; aka.selenium; General publics; On-line applications; Product applications; Test Automation; Test case; Testing procedure; web driver; Software testing","Institute of Electrical and Electronics Engineers Inc."
"Leotta M., Stocco A., Ricca F., Tonella P.","Robula+: An algorithm for generating robust XPath locators for web testing",2016,"Journal of Software: Evolution and Process","28","3",,"177","204",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960411519&doi=10.1002%2fsmr.1771&partnerID=40&md5=94785f3f650ec78904da73bd1c24dff8","Automated test scripts are used with success in many web development projects, so as to automatically verify key functionalities of the web application under test, reveal possible regressions and run a large number of tests in short time. However, the adoption of automated web testing brings advantages but also novel problems, among which the test code fragility problem. During the evolution of the web application, existing test code may easily break and testers have to correct it. In the context of automated DOM-based web testing, one of the major costs for evolving the test code is the manual effort necessary to repair broken web page element locators - lines of source code identifying the web elements (e.g. form fields and buttons) to interact with. In this work, we present Robula+, a novel algorithm able to generate robust XPath-based locators - locators that are likely to work correctly on new releases of the web application. We compared Robula+ with several state of the practice/art XPath locator generator tools/algorithms. Results show that XPath locators produced by Robula+ are by far the most robust. Indeed, Robula+ reduces the locators' fragility on average by 90% w.r.t. absolute locators and by 63% w.r.t. Selenium IDE locators. Copyright © 2016 John Wiley & Sons, Ltd.","DOM selector; maintenance effort reduction; robust XPath locator; test cases fragility; web testing","Algorithms; Automation; Codes (symbols); Websites; World Wide Web; DOM selector; Maintenance efforts; Robust XPath locator; Test case; Web testing; Testing","John Wiley and Sons Ltd"
"Guo H.-F.","A semantic approach for automated test oracle generation",2016,"Computer Languages, Systems and Structures","45",,,"204","219",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959311954&doi=10.1016%2fj.cl.2016.01.006&partnerID=40&md5=63d0580f3acd8ffcd68a6e1ebc3e66d0","This paper presents the design, implementation, and applications of a software testing tool, TAO, which allows users to specify and generate test cases and oracles in a declarative way. Extended from its previous grammar-based test generation tool, TAO provides a declarative notation for defining denotational semantics on each productive grammar rule, such that when a test case is generated, its expected semantics will be evaluated automatically as well, serving as its test oracle. TAO further provides a simple tagging mechanism to embed oracles into test cases for bridging the automation between test case generation and software testing. Two practical case studies are used to illustrate how automated oracle generation can be effectively integrated with grammar-based test generation in different testing scenarios: locating fault-inducing input patterns on Java applications; and Selenium-based automated web testing. © 2016 Elsevier Ltd","Denotational semantics; Software testing; Test case generation; Test oracle","Application programs; Automatic test pattern generation; Automation; Semantics; Automated test; Denotational semantics; Input patterns; Java applications; Semantic approach; Test case generation; Test generations; Test oracles; Software testing","Elsevier Ltd"
"Bures M., Filipsky M.","SmartDriver: Extension of selenium webdriver to create more efficient automated tests",2016,"2016 6th International Conference on IT Convergence and Security, ICITCS 2016",,,"7740370","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006320716&doi=10.1109%2fICITCS.2016.7740370&partnerID=40&md5=9e94ebf40b55ffe6fe1d6637171abe6e","The SmartDriver framework is an open extension of Selenium WebDriver framework aimed at decreasing implementation and maintenance costs of automated tests. It composes from two principal modules working in synergy. The structuring module ensuring three layer architecture of reusable objects, page objects and tests. Besides decreasing of implementation and maintenance costs, this module allows to create tests which can be easily read by testers or business analysts without previous extensive programming knowledge. The maintenance module then decreases time needed to update the scripts. When a test fails when locating a page element which does not exist due to obsolete test script, SmartDriver automatically analyzes if the element has been just moved to another place in the page. If so, it gives this information to the script developer. © 2016 IEEE.","Architecture; Maintenance; Mobile testing; Selenium WebDriver; Test automation; Test automation framework; Web application testing","Architecture; Automation; Computer software reusability; Maintenance; Selenium; Business analysts; Maintenance cost; Mobile testing; Programming knowledge; Test Automation; Test automation frameworks; Threelayer architecture; Web application testing; Testing","Institute of Electrical and Electronics Engineers Inc."
"Neto N.M.L., Vilain P., Dos Santos Mello R.","Segen: Generation of test cases for selenium and selendroid",2016,"ACM International Conference Proceeding Series",,,,"433","442",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014937121&doi=10.1145%2f3011141.3011154&partnerID=40&md5=dc2a22417d60e5180a4c6f8bc87b1bc4","Nowadays, with the rise of mobile devices, users deal with applications that present user interfaces adapted to different contexts of use. In order to improve the quality of these user interfaces, we propose a solution that includes a higher level description of tests and a tool, called Segen, for generating test cases for two very known test automation tools for Web and mobile environments: Selenium and Selendroid. Segen allows to generate test scripts from a single high-level description to executable tests scripts for each environment. On using Segen, testers can focus on the test cases, independently of the environment being used. A proof of concept was used to evaluate Segen: A smart home energy management that has a Web version and a mobile Android version. The evaluation showed that Segen reduces the work of testers and can be used along with other testing libraries. The evaluation also showed that Segen is more useful if test cases are designed before the development. However, it was identified that Segen has similar limitations to those that Selenium and Selendroid have. © 2016 ACM.","Segen; Selendroid; Selenium; Software testing; Tobias; User interface testing","Automation; Information analysis; Information retrieval; Intelligent buildings; Selenium; Software testing; Testing; Web services; Websites; High level description; Interface testings; Mobile environments; Proof of concept; Segen; Selendroid; Test automation tool; Tobias; User interfaces","Association for Computing Machinery"
"Renard C., Artinian A., Dantes D., Lepage G., Diels W.","Preliminary performances measured on a CMOS long linear array for space application",2017,"Proceedings of SPIE - The International Society for Optical Engineering","10567",,"105671M","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040508055&doi=10.1117%2f12.2308076&partnerID=40&md5=6e1e5260a40d7169cfe7d36ccea3bcd2","This paper presents the design and the preliminary performances of a CMOS linear array, resulting from collaboration between Alcatel Alenia Space and Cypress Semiconductor BVBA, which takes advantage of emerging potentialities of CMOS technologies. The design of the sensor is presented: it includes 8000 panchromatic pixels with up to 25 rows used in TDI mode, and 4 lines of 2000 pixels for multispectral imaging. Main system requirements and detector tradeoffs are recalled, and the preliminary test results obtained with a first generation prototype are summarized and compared with predicted performances. © COPYRIGHT SPIE. Downloading of the abstract is permitted for personal use only.",,"CMOS integrated circuits; Pixels; Alcatel alenia spaces; CMOS technology; Cypress semiconductors; Long-linear array; Multispectral imaging; Panchromatic pixels; Predicted performance; System requirements; Integrated circuit design","SPIE"
"Sinaga A.M.","Case study on testing of web-based application: Del's students information system",2017,"Journal of Telecommunication, Electronic and Computer Engineering","9","2-4",,"1","5",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032960670&partnerID=40&md5=83f6950824eccfbd598256802d17fd3c","Software Testing is an important process to assure the quality of software including web-based application. The aim of testing is to detect all failures to ensure that the software is built in accordance with its specifications. There are two methods of testing, such as the white box and the black box testing. White box testing is done with the approach to the program code, while black box testing is done without referring to the source code, but to the output of the resulting program. User interface testing is the type of testing that is usually conducted on a web-based application. In this research, functional and user interface testing were conducted into Del's Student Information System. Testing techniques used in this research was a Simple Functional Acceptance Test (FAST). This technique was done by testing each function and checking each component of the user interface. Selenium IDE was used to execute test cases resulting in the implementation. From all steps carried out in this research, it can be concluded that the functional testing can be carried out in line with the testing of the user interface. A testing scenario for web-based application has been proposed and experimentally applied into an application under testing.","Functional Acceptance Simple Test (FAST); Functional testing; UI testing; Web testing",,"Universiti Teknikal Malaysia Melaka"
"Suwondo A., Achmadi U.F., Suratman","The effect of selenium supplementation on hemoglobin among farmers working as pesticide sprayers",2017,"Advanced Science Letters","23","4",,"3361","3363",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021091941&doi=10.1166%2fasl.2017.9107&partnerID=40&md5=35795529bfedf761dbaa22cc86b74845","Background: The symptom of organophosphate (OPs) poisoning develops when the activity of cholinesterase enzyme (ChE) at the nerves ending is obstructed, which caused accumulation of ACh in the nerve endings. The returning of ChE to the normal levels depends on the ability of Erythrocyte cell membrane to survive from lipid peroxidation, with the help of Glutathione peroxides enzyme (GPX), which is heavily depend on Selenium (Se). This study aimed to find out the benefits of Selenium and Vitamin C supplementation on Hemoglobin levels of the farmers working as pesticide sprayers. Method: This was an experimental study using Pre and post test Control Group Design. Ninety nine farmers lived in Pasuruan village, Temanggung, Central Java who fulfilled the inclusion and exclusion criteria were selected as the subjects. Se and Vit C supplementation were given for 7 consecutive days. Results: The hemoglobin levels in Selenium group increased by 2.66%, while in the control group and the group receiving Se+Vit C decreased by 1.96% (p = 0.0001). Conclusion: Supplementation of Selenium 200 μg for 7 consecutive days would increase the hemoglobin level of pesticide sprayers-farmers. © 2017 American Scientific Publishers All rights reserved.","Experimental study; Level of hemoglobin; Selenium; Vitamin C",,"American Scientific Publishers"
"Rehman A.U., Bashir N., Hassan N.U., Yuen C.","Impact of home appliances on the performance of narrow-band power line communications for smart grid applications",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",,,"7848709","3511","3514",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015442131&doi=10.1109%2fTENCON.2016.7848709&partnerID=40&md5=2ee32aef5c7e00b83029cef8db4a4882","In this paper, we propose a cost-effective and robust communication network architecture for smart grid applications. The data rate requirements of many smart grid applications are low, which makes narrow-band power line communication (NB-PLC), a viable candidate technology. We develop a testbed based on Cypress 3274 evaluation kits (state of the art NB-PLC modems) and conduct various experiments. Based on our experiments, we conclude that this technology is robust and can provide reliable communication without any significant change in the resulting bit error rate (BER) as the distance between transmitter and receiver is increased up to several tens of meters. Different type of home appliances and their combinations generate noise in PLC medium, which impacts the packet success rate (PSR). However, in most of our experiments, PSR remained high, which justifies the use of NB-PLC technology in non-critical smart grid applications inside homes and commercial buildings. © 2016 IEEE.",,"Bit error rate; Cost effectiveness; Domestic appliances; Electric power measurement; Electric power transmission networks; Network architecture; Office buildings; Commercial building; Narrowband power-line communications (NB-PLC); PLC technology; Power line communications; Reliable communication; Smart grid applications; State of the art; Transmitter and receiver; Smart power grids","Institute of Electrical and Electronics Engineers Inc."
"González C.J., Chenet C.P., Budelon M., Vaz R.G., Gonçalez O., Balen T.R.","Evaluation of a mixed-signal design diversity system under radiation effects",2017,"LATS 2017 - 18th IEEE Latin-American Test Symposium",,,"7906751","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020231058&doi=10.1109%2fLATW.2017.7906751&partnerID=40&md5=e12f0b65f67c81a65f169686f972b06a","In this work a data acquisition system, based on a design diversity redundant scheme, is tested under total ionizing dose effects. The data acquisition system is composed by three ADCs and two voters, implementing different levels of diversity (architectural and temporal). This system is implemented on a 130nm commercial mixed-signal programmable SoC (PSoC 5), from Cypress Semiconductor. The system was tested under 60Co gamma radiation with a dose rate of 1 krad(Si)/h reaching a total dose of 242 krad(Si). One of the system copies presented a significant degradation on its linearity during the irradiation, while the others kept the functionality with less severe degradation, evidencing the advantage of using diversity to improve resilience in mixed-signal redundant systems. © 2017 IEEE.","Design Diversity; Mixed-Signal; Programmable System-on-Chip (PSoC); Radiation Effects","Data acquisition; Ionizing radiation; Programmable logic controllers; Radiation effects; System-on-chip; Cypress semiconductors; Data acquisition system; Design diversity; Mixed signal; Mixed-signal design; Programmable system on chips; Redundant system; Total ionizing dose effects; Integrated circuit design","Institute of Electrical and Electronics Engineers Inc."
"Dwarakanath A., Era D., Priyadarshi A., Dubash N., Podder S.","Accelerating Test Automation through a Domain Specific Language",2017,"Proceedings - 10th IEEE International Conference on Software Testing, Verification and Validation, ICST 2017",,,"7928002","460","467",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020725176&doi=10.1109%2fICST.2017.52&partnerID=40&md5=bed062f356959826d87cff3e1eaea7b3","Test automation involves the automatic execution of test scripts instead of being manually run. This significantly reduces the amount of manual effort needed and thus is of great interest to the software testing industry. There are two key problems in the existing tools & methods for test automation - a) Creating an automation test script is essentially a code development task, which most testers are not trained on, and b) the automation test script is seldom readable, making the task of maintenance an effort intensive process. We present the Accelerating Test Automation Platform (ATAP) which is aimed at making test automation accessible to non-programmers. ATAP allows the creation of an automation test script through a domain specific language based on English. The English-like test scripts are automatically converted to machine executable code using Selenium WebDriver. ATAP's English-like test script makes it easy for non-programmers to author. The functional flow of an ATAP script is easy to understand as well thus making maintenance simpler (you can understand the flow of the test script when you revisit it many months later). ATAP has been built around the Eclipse ecosystem and has been used in a real-life testing project. We present the details of the implementation of ATAP and the results from its usage in practice. © 2017 IEEE.","DSL; Selenium; Test automation; Xtext","Automation; Computer programming languages; DSL; Problem oriented languages; Selenium; Verification; Automation tests; Code development; Domain specific languages; Executable codes; Functional flow; Real-life testing; Test Automation; Xtext; Software testing","Institute of Electrical and Electronics Engineers Inc."
"Lee S.-J., You J.-L., Hsieh S.-Y.","Automatically locating unnamed windows and inner frames for web regression testing",2017,"Proceedings of the 2017 IEEE International Conference on Applied System Innovation: Applied System Innovation for Modern Technology, ICASI 2017",,,"7988381","184","187",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028524372&doi=10.1109%2fICASI.2017.7988381&partnerID=40&md5=6d3d0f88dac1f8039cd8e5d25d75c8b9","Selenium IDE is a glorious state-of-The-Art integrated development environment for recording and playing Selenium test cases for web testing. However, it does not support automatically locating unnamed popup windows and inner frames, which impedes creating a sequence of test commands across different windows and inner frames. In this work, we extend Selenium IDE and propose a technique to dealing with this problem. The experimental results demonstrate the automation efficacy with 12 real world web pages and 36 pairwise test cases. © 2017 IEEE.","Test case record and playback; Unnamed inner frame; Unnamed window; Web regression testing","Integrodifferential equations; Selenium; Software testing; Websites; Integrated development environment; Pairwise tests; Pop-up windows; Real world web; Regression testing; State of the art; Test case; Unnamed inner frame; Innovation","Institute of Electrical and Electronics Engineers Inc."
"De Moura J.L., Charão A.S., Lima J.C.D., De Oliveira Stein B.","Test case generation from BPMN models for automated testing of Web-based BPM applications",2017,"Proceedings of the 2017 17th International Conference on Computational Science and Its Applications, ICCSA 2017",,,"7999652","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041234887&doi=10.1109%2fICCSA.2017.7999652&partnerID=40&md5=7ffc8cac48ddddfc610dc9fdf857514a","This article proposes an approach to generate test cases from BPMN models, for automated testing of Web applications implemented with the support of BPM suites. The work is primarily focused on functional testing and has the following objectives: (i) identify execution paths from the flow analysis in the BPMN model and (ii) generate the initial code of test scripts to be run on a given Web application testing tool. Throughout the article, we describe the design and implementation of a solution to achieve these goals, targeting automated tests using Selenium and Cucumber as tools. The approach was applied to processes from a public repository and was able to generate test scenarios from different BPMN models. © 2017 IEEE.","Automatic software testing; BPMN; Business Process Management; Test case generation","Administrative data processing; Automation; Enterprise resource management; Automated testing; BPMN; Business process management; Design and implementations; Functional testing; Public repositories; Test case generation; Web application testing; Software testing","Institute of Electrical and Electronics Engineers Inc."
"Vila E., Novakova G., Todorova D.","Automation testing framework for web applications with selenium WebDriver: Opportunities and threats",2017,"ACM International Conference Proceeding Series","Part F131200",,,"144","150",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033558270&doi=10.1145%2f3133264.3133300&partnerID=40&md5=b1bc4d22bd0045fc8126b8938d08f098","The present paper discusses the need of automation testing in the process of software development, in order to provide high quality, robust and reliable software product. It answers the question why automation testing plays such a significant role in software development lifecycle as well as why not to use already existing automation testing tools when testing web applications and why it is better to create automation testing framework. Some reliable approaches how to build a testing framework are investigated. Selenium WebDriver tool is pointed out as appropriate solution when creating such framework and its wide use is outlined. Moreover, the paper provides analysis and detailed list of opportunities and threats of using Selenium WebDriver tool. The paper concludes by providing arguments for the value of the creation of automation framework for Web applications with Selenium WebDriver. © 2017 Association for Computing Machinery.","Automation testing script; Automation testing tool; Selenium WebDriver; Software product; Testing framework; Web application","Application programs; Automation; Image processing; Network function virtualization; Selenium; Software design; Software engineering; Automation testing; High quality; Software development life cycle; Software products; Testing framework; WEB application; Software testing","Association for Computing Machinery"
